time_s	time_us	ch_0	ch_1	ch_2	ch_3	ped_us	col_us	lon_us	lat_us	err_count
1429813441	293374	1404	1640	1508	1508	0	0	0	0	0
1429813441	393392	1404	1640	1508	1508	0	0	0	0	0
1429813441	493375	1404	1640	1508	1508	0	0	0	0	0
1429813441	593369	1404	1644	1508	1508	0	0	0	0	0
1429813441	693387	1404	1640	1508	1512	0	0	0	0	0
1429813441	793380	1408	1640	1524	1512	0	0	0	0	0
1429813441	893386	1404	1644	1548	1508	0	0	0	0	0
1429813441	993386	1408	1640	1568	1508	0	0	0	0	0
1429813442	93396	1404	1640	1592	1512	0	0	0	0	0
1429813442	193409	1408	1640	1608	1508	0	0	0	0	0
1429813442	293426	1404	1640	1636	1508	0	0	0	0	0
1429813442	393426	1404	1640	1648	1512	0	0	0	0	0
1429813442	493426	1404	1640	1672	1508	0	0	0	0	0
1429813442	593431	1408	1640	1692	1508	0	0	0	0	0
1429813442	693426	1408	1640	1712	1508	0	0	0	0	0
1429813442	793428	1404	1644	1736	1512	0	0	0	0	0
1429813442	893421	1408	1636	1768	1508	0	0	0	0	0
1429813442	993439	1408	1640	1796	1516	0	0	0	0	0
1429813443	93447	1404	1644	1808	1508	0	0	0	0	0
1429813443	193424	1404	1644	1812	1508	0	0	0	0	0
1429813443	293454	1408	1640	1812	1512	0	0	0	0	0
1429813443	393453	1404	1640	1812	1512	0	0	0	0	0
1429813443	493488	1404	1640	1812	1508	0	0	0	0	0
1429813443	593493	1408	1640	1812	1508	0	0	0	0	0
1429813443	693375	1408	1640	1812	1512	0	0	0	0	0
1429813443	793388	1408	1640	1812	1508	0	0	0	0	0
1429813443	893391	1404	1640	1816	1508	0	0	0	0	0
1429813443	993388	1404	1640	1816	1508	0	0	0	0	0
1429813444	93363	1404	1640	1812	1508	0	0	0	0	0
1429813444	193390	1404	1640	1812	1512	0	0	0	0	0
1429813444	293379	1404	1640	1812	1512	0	0	0	0	0
1429813444	393390	1408	1636	1816	1508	0	0	0	0	0
1429813444	493389	1408	1640	1812	1508	0	0	0	0	0
1429813444	593387	1404	1640	1812	1512	0	0	0	0	0
1429813444	693366	1404	1640	1816	1508	0	0	0	0	0
1429813444	793404	1404	1640	1812	1508	0	0	0	0	0
1429813444	893394	1404	1640	1816	1508	0	0	0	0	0
1429813444	993392	1408	1640	1812	1512	0	0	0	0	0
1429813445	93385	1408	1636	1800	1512	0	0	0	0	0
1429813445	193381	1404	1640	1784	1512	0	0	0	0	0
1429813445	293389	1404	1644	1760	1512	0	0	0	0	0
1429813445	393406	1400	1640	1700	1512	0	0	0	0	0
1429813445	493403	1408	1640	1632	1512	0	0	0	0	0
1429813445	593398	1408	1640	1584	1512	0	0	0	0	0
1429813445	693393	1404	1640	1520	1508	0	0	0	0	0
1429813445	793391	1404	1644	1504	1512	0	0	0	0	0
1429813445	893384	1404	1644	1504	1508	0	0	0	0	0
1429813445	993377	1404	1640	1508	1508	0	0	0	0	0
1429813446	93395	1404	1640	1508	1508	0	0	0	0	0
1429813446	193385	1408	1636	1508	1508	0	0	0	0	0
1429813446	293397	1408	1640	1504	1508	0	0	0	0	0
1429813446	393389	1404	1640	1508	1508	0	0	0	0	0
1429813446	493393	1408	1640	1508	1508	0	0	0	0	0
1429813446	593397	1404	1640	1508	1508	0	0	0	0	0
1429813446	693375	1408	1640	1504	1508	0	0	0	0	0
1429813446	793394	1404	1640	1508	1508	0	0	0	0	0
1429813446	893390	1404	1640	1508	1508	0	0	0	0	0
1429813446	993388	1404	1640	1508	1508	0	0	0	0	0
1429813447	93457	1408	1640	1504	1508	0	0	0	0	0
1429813447	193426	1404	1640	1508	1508	0	0	0	0	0
1429813447	293428	1408	1640	1504	1508	0	0	0	0	0
1429813447	393443	1404	1640	1504	1512	0	0	0	0	0
1429813447	493453	1404	1644	1504	1508	0	0	0	0	0
1429813447	593438	1404	1640	1508	1508	0	0	0	0	0
1429813447	693443	1404	1640	1504	1508	0	0	0	0	0
1429813447	793430	1404	1644	1504	1508	0	0	0	0	0
1429813447	893437	1404	1640	1504	1508	0	0	0	0	0
1429813447	993453	1404	1640	1504	1512	0	0	0	0	0
1429813448	93436	1408	1640	1504	1508	0	0	0	0	0
1429813448	193465	1404	1640	1508	1508	0	0	0	0	0
1429813448	293458	1404	1640	1504	1508	0	0	0	0	0
1429813448	393463	1404	1640	1504	1508	0	0	0	0	0
1429813448	493551	1408	1640	1484	1508	0	0	0	0	0
1429813448	593427	1404	1640	1456	1508	0	0	0	0	0
1429813448	693456	1404	1640	1428	1508	0	0	0	0	0
1429813448	793400	1404	1640	1400	1508	0	0	0	0	0
1429813448	893404	1404	1640	1372	1512	0	0	0	0	0
1429813448	993397	1404	1640	1344	1508	0	0	0	0	0
1429813449	93406	1404	1640	1316	1512	0	0	0	0	0
1429813449	193370	1404	1640	1288	1508	0	0	0	0	0
1429813449	293462	1404	1640	1244	1508	0	0	0	0	0
1429813449	393376	1404	1644	1204	1508	0	0	0	0	0
1429813449	493378	1404	1640	1200	1512	0	0	0	0	0
1429813449	593370	1400	1640	1200	1512	0	0	0	0	0
1429813449	693384	1408	1640	1200	1508	0	0	0	0	0
1429813449	793363	1404	1640	1200	1508	0	0	0	0	0
1429813449	893367	1408	1640	1200	1508	0	0	0	0	0
1429813449	993377	1412	1640	1196	1512	0	0	0	0	0
1429813450	93377	1404	1640	1200	1508	0	0	0	0	0
1429813450	193374	1404	1640	1200	1508	0	0	0	0	0
1429813450	293358	1404	1640	1200	1508	0	0	0	0	0
1429813450	393359	1404	1640	1200	1508	0	0	0	0	0
1429813450	493399	1408	1636	1200	1508	0	0	0	0	0
1429813450	593381	1408	1640	1200	1508	0	0	0	0	0
1429813450	693380	1408	1640	1200	1508	0	0	0	0	0
1429813450	793394	1404	1640	1200	1508	0	0	0	0	0
1429813450	893379	1404	1640	1200	1508	0	0	0	0	0
1429813450	993376	1404	1640	1200	1512	0	0	0	0	0
1429813451	93362	1408	1640	1196	1512	0	0	0	0	0
1429813451	193373	1404	1640	1200	1512	0	0	0	0	0
1429813451	293371	1404	1640	1228	1512	0	0	0	0	0
1429813451	393375	1408	1640	1260	1512	0	0	0	0	0
1429813451	493376	1404	1640	1276	1512	0	0	0	0	0
1429813451	593390	1408	1640	1276	1512	0	0	0	0	0
1429813451	693375	1404	1640	1276	1512	0	0	0	0	0
1429813451	793382	1408	1640	1300	1516	0	0	0	0	0
1429813451	893379	1404	1644	1360	1508	0	0	0	0	0
1429813451	993397	1404	1640	1404	1512	0	0	0	0	0
1429813452	93386	1404	1640	1436	1508	0	0	0	0	0
1429813452	193398	1408	1640	1456	1512	0	0	0	0	0
1429813452	293411	1404	1640	1484	1508	0	0	0	0	0
1429813452	393437	1404	1640	1508	1508	0	0	0	0	0
1429813452	493422	1404	1640	1508	1508	0	0	0	0	0
1429813452	593423	1404	1644	1504	1512	0	0	0	0	0
1429813452	693414	1408	1640	1504	1508	0	0	0	0	0
1429813452	793415	1408	1640	1504	1508	0	0	0	0	0
1429813452	893426	1408	1640	1504	1512	0	0	0	0	0
1429813452	993441	1404	1640	1504	1512	0	0	0	0	0
1429813453	93420	1404	1640	1508	1508	0	0	0	0	0
1429813453	193427	1408	1640	1504	1508	0	0	0	0	0
1429813453	293430	1404	1640	1508	1508	0	0	0	0	0
1429813453	393475	1408	1640	1504	1508	0	0	0	0	0
1429813453	493521	1408	1640	1504	1512	0	0	0	0	0
1429813453	593381	1404	1640	1508	1508	0	0	0	0	0
1429813453	693388	1404	1640	1508	1508	0	0	0	0	0
1429813453	793390	1404	1640	1504	1512	0	0	0	0	0
1429813453	893379	1404	1640	1504	1512	0	0	0	0	0
1429813453	993394	1404	1640	1504	1508	0	0	0	0	0
1429813454	93361	1404	1640	1508	1508	0	0	0	0	0
1429813454	193374	1404	1640	1504	1512	0	0	0	0	0
1429813454	293372	1404	1640	1508	1508	0	0	0	0	0
1429813454	393370	1404	1640	1504	1512	0	0	0	0	0
1429813454	493379	1408	1644	1504	1508	0	0	0	0	0
1429813454	593370	1404	1644	1504	1508	0	0	0	0	0
1429813454	693384	1408	1640	1504	1508	0	0	0	0	0
1429813454	793366	1404	1640	1504	1508	0	0	0	0	0
1429813454	893376	1404	1640	1508	1512	0	0	0	0	0
1429813454	993375	1404	1640	1508	1508	0	0	0	0	0
1429813455	93377	1404	1644	1504	1508	0	0	0	0	0
1429813455	193372	1420	1628	1504	1508	0	0	0	0	0
1429813455	293356	1404	1640	1504	1512	0	0	0	0	0
1429813455	393376	1408	1640	1508	1512	0	0	0	0	0
1429813455	493371	1404	1640	1504	1520	0	0	0	0	0
1429813455	593374	1408	1640	1504	1536	0	0	0	0	0
1429813455	693371	1408	1640	1504	1572	0	0	0	0	0
1429813455	793391	1404	1644	1504	1592	0	0	0	0	0
1429813455	893375	1408	1640	1508	1612	0	0	0	0	0
1429813455	993371	1404	1644	1504	1640	0	0	0	0	0
1429813456	93362	1408	1640	1504	1668	0	0	0	0	0
1429813456	193374	1408	1640	1504	1700	0	0	0	0	0
1429813456	293399	1404	1640	1508	1720	0	0	0	0	0
1429813456	393372	1404	1644	1504	1756	0	0	0	0	0
1429813456	493376	1404	1644	1508	1788	0	0	0	0	0
1429813456	593391	1408	1640	1504	1816	0	0	0	0	0
1429813456	693361	1408	1640	1504	1812	0	0	0	0	0
1429813456	793376	1404	1640	1508	1812	0	0	0	0	0
1429813456	893376	1404	1644	1504	1812	0	0	0	0	0
1429813456	993375	1404	1644	1504	1812	0	0	0	0	0
1429813457	93381	1404	1640	1508	1812	0	0	0	0	0
1429813457	193389	1404	1640	1508	1812	0	0	0	0	0
1429813457	293408	1404	1640	1508	1812	0	0	0	0	0
1429813457	393402	1408	1640	1504	1816	0	0	0	0	0
1429813457	493413	1404	1640	1508	1812	0	0	0	0	0
1429813457	593409	1408	1640	1504	1812	0	0	0	0	0
1429813457	693409	1404	1640	1508	1812	0	0	0	0	0
1429813457	793412	1404	1640	1504	1816	0	0	0	0	0
1429813457	893424	1404	1644	1504	1812	0	0	0	0	0
1429813457	993411	1404	1640	1504	1816	0	0	0	0	0
1429813458	93415	1404	1644	1500	1768	0	0	0	0	0
1429813458	193432	1408	1640	1504	1692	0	0	0	0	0
1429813458	293416	1404	1640	1504	1636	0	0	0	0	0
1429813458	393393	1404	1640	1508	1592	0	0	0	0	0
1429813458	493522	1404	1640	1508	1552	0	0	0	0	0
1429813458	593477	1408	1640	1508	1516	0	0	0	0	0
1429813458	693379	1404	1640	1508	1508	0	0	0	0	0
1429813458	793378	1408	1640	1504	1512	0	0	0	0	0
1429813458	893387	1408	1640	1504	1512	0	0	0	0	0
1429813458	993375	1404	1640	1508	1508	0	0	0	0	0
1429813459	93390	1408	1640	1504	1512	0	0	0	0	0
1429813459	193353	1404	1640	1504	1512	0	0	0	0	0
1429813459	293376	1408	1640	1504	1512	0	0	0	0	0
1429813459	393373	1408	1640	1504	1508	0	0	0	0	0
1429813459	493377	1408	1640	1504	1512	0	0	0	0	0
1429813459	593393	1404	1640	1508	1508	0	0	0	0	0
1429813459	693379	1396	1640	1504	1512	0	0	0	0	0
1429813459	793373	1404	1640	1508	1508	0	0	0	0	0
1429813459	893377	1408	1640	1504	1512	0	0	0	0	0
1429813459	993372	1404	1640	1508	1508	0	0	0	0	0
1429813460	93379	1404	1640	1508	1508	0	0	0	0	0
1429813460	193371	1408	1640	1504	1508	0	0	0	0	0
1429813460	293375	1404	1640	1508	1512	0	0	0	0	0
1429813460	393366	1404	1640	1508	1508	0	0	0	0	0
1429813460	493415	1404	1640	1508	1508	0	0	0	0	0
1429813460	593375	1404	1640	1508	1508	0	0	0	0	0
1429813460	693376	1404	1640	1508	1508	0	0	0	0	0
1429813460	793376	1404	1640	1508	1508	0	0	0	0	0
1429813460	893381	1404	1644	1504	1508	0	0	0	0	0
1429813460	993399	1408	1640	1508	1508	0	0	0	0	0
1429813461	93381	1408	1640	1504	1508	0	0	0	0	0
1429813461	193367	1408	1640	1504	1508	0	0	0	0	0
1429813461	293378	1408	1640	1504	1508	0	0	0	0	0
1429813461	393370	1408	1640	1504	1504	0	0	0	0	0
1429813461	493375	1408	1640	1504	1496	0	0	0	0	0
1429813461	593366	1404	1644	1504	1484	0	0	0	0	0
1429813461	693375	1408	1640	1504	1472	0	0	0	0	0
1429813461	793466	1408	1640	1504	1456	0	0	0	0	0
1429813461	893377	1404	1640	1504	1436	0	0	0	0	0
