time_s	time_us	phi_deg	theta_deg	psi_deg	p_deg_s	q_deg_s	r_deg_s	ax_ms2	ay_ms2	az_ms2	
1429809783	646257	-166.56	-86.8702	-170.337	0.711924	-0.0337168	-0.33886	-9.65193	0.0574805	-0.177231	
1429809783	696156	-166.693	-86.8752	-170.164	1.01188	0.0891493	-0.663906	-9.67588	0.0622705	-0.124541	
1429809783	746544	-166.663	-86.8653	-170.158	0.674879	0.266982	0.186943	-9.62319	0.0622705	-0.153281	
1429809783	796161	-166.895	-86.8593	-169.885	0.671398	-0.224285	-0.431255	-9.68067	0.0431104	-0.119751	
1429809783	846192	-167.293	-86.871	-169.449	0.640494	0.505717	-0.626281	-9.65672	0.0718506	-0.148491	
1429809783	896184	-167.214	-86.8754	-169.488	0.729418	-0.565163	-0.170461	-9.69983	0.0479004	-0.148491	
1429809783	946336	-167.398	-86.8846	-169.267	0.695487	0.611105	-0.651868	-9.77168	0.0287402	-0.148491	
1429809783	996190	-167.226	-86.9003	-169.399	0.941635	0.512799	-0.219378	-9.62798	0.110171	-0.0670606	
1429809784	46225	-166.651	-86.9083	-169.942	0.577508	0.265981	0.687474	-9.6663	0.0191602	-0.182021	
1429809784	96259	-166.456	-86.9127	-170.101	0.577651	0.136149	-0.243821	-9.66151	0.0335303	-0.162861	
1429809784	146406	-166.209	-86.9148	-170.31	0.783161	0.289626	0.269894	-9.68546	0.0670606	-0.177231	
1429809784	196134	-166.244	-86.9132	-170.24	0.762871	0.0454613	0.111239	-9.71899	0.119751	-0.182021	
1429809784	246301	-165.973	-86.9149	-170.475	0.782988	0.248239	-0.280305	-9.62319	0.0958008	-0.138911	
1429809784	296123	-165.921	-86.9196	-170.491	0.683172	0.397994	-0.351927	-9.63756	0.0958008	-0.134121	
1429809784	346280	-166.227	-86.9229	-170.148	0.758212	0.113069	-0.619903	-9.66151	0.0335303	-0.148491	
1429809784	396137	-166.567	-86.9455	-169.776	0.480441	0.267092	-0.753638	-9.68546	0.0670606	-0.191602	
1429809784	446205	-166.697	-86.9438	-169.613	0.650821	-0.742233	0.758314	-9.66151	0.0766406	-0.124541	
1429809784	496163	-166.469	-86.9348	-169.806	0.89793	0.106351	0.7901	-9.60403	0.100591	-0.158071	
1429809784	546305	-166.354	-86.9329	-169.882	0.908699	0.690559	-0.0852798	-9.67109	0.0287402	-0.129331	
1429809784	596170	-166.126	-86.9354	-170.074	0.639642	0.0253379	-0.0815104	-9.57529	0.0287402	-0.105381	
1429809784	646257	-165.9	-86.9336	-170.266	0.584454	-0.0569501	0.969548	-9.67588	0.0383203	-0.162861	
1429809784	696191	-165.814	-86.956	-170.318	0.857488	0.814886	-0.166026	-9.73336	0.0862207	-0.186812	
1429809784	746540	-165.615	-86.9759	-170.485	0.57696	0.79086	-0.257605	-9.63756	0.100591	-0.182021	
1429809784	796197	-165.718	-86.9852	-170.347	0.743468	0.376037	-0.3738	-9.64235	0.0814307	-0.129331	
1429809784	846287	-165.895	-86.9922	-170.14	0.587213	-0.165925	0.0653587	-9.70462	0.0766406	-0.167651	
1429809784	896229	-166.016	-87.0013	-169.987	0.701533	0.000431583	0.357381	-9.64235	0.00958008	-0.0766406	
